AIRLINE_ID,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,CLASS,PASSENGERS,REGION
20237,11292,12094,F,298,D
20237,11775,11292,F,294,D
19917,11292,14730,G,0,D
19917,14730,11292,G,0,D
19805,11292,14107,F,876,D
19805,14107,11292,F,1007,D
20500,11292,11042,F,523,D
20304,11193,11292,F,530,D
20304,11292,15376,F,397,D
20304,13851,11292,F,464,D
19977,10423,11292,F,972,D
19977,11292,10423,F,642,D
19977,11292,10529,F,1038,D
19977,11292,11433,F,1017,D
19977,11292,11697,F,1240,D
19977,11292,12953,F,945,D
19977,11292,13485,F,1016,D
19977,11292,13487,F,1072,D
19977,11292,14747,F,1323,D
19977,11292,15370,F,922,D
19977,11603,11292,F,812,D
19977,13495,11292,F,1170,D
19977,14869,11292,F,1232,D
19393,11292,11884,F,1209,D
19393,11292,12191,F,1010,D
19393,11292,12892,F,1105,D
19393,11292,13851,F,986,D
19393,11292,14107,F,1099,D
19393,11292,14771,F,1062,D
19393,12889,11292,F,1048,D
19393,13198,11292,F,1056,D
19393,14492,11292,F,1313,D
20452,10693,11292,F,525,D
20436,11109,14771,F,917,D
20436,14771,11109,F,905,D
20107,11292,13796,G,0,D
20237,11292,12012,F,371,D
20237,12012,11292,F,245,D
20237,12094,11292,F,344,D
20368,10466,11109,F,1299,D
20368,11109,10466,F,1257,D
20368,11109,12889,F,1268,D
20368,11921,12892,F,1267,D
20368,12889,11109,F,1272,D
